City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.0752,-159.319,75.99,83,75,11.5,US,1613871887
Barrow,71.2906,-156.7887,-16.6,76,75,9.22,US,1613871622
Longyearbyen,78.2186,15.6401,23.0,63,40,6.91,SJ,1613872043
Sainte-Rose,16.3324,-61.6979,73.4,83,0,3.44,GP,1613872043
Zenzeli,45.9241,47.0474,18.59,95,7,7.63,RU,1613872044
Kutum,14.2,24.6667,49.71,42,0,10.31,SD,1613872044
Hasaki,35.7333,140.8333,64.0,48,0,8.05,JP,1613871755
Qaanaaq,77.484,-69.3632,-31.59,73,1,3.85,GL,1613871954
Atuona,-9.8,-139.0333,79.5,81,98,11.81,PF,1613871624
Avarua,-21.2078,-159.775,82.4,78,75,6.91,CK,1613871621
Khatanga,71.9667,102.5,-21.77,87,100,8.03,RU,1613871625
Rikitea,-23.1203,-134.9692,79.88,65,4,4.07,PF,1613871623
Burgersdorp,-30.9977,26.3286,54.01,64,0,3.58,ZA,1613872045
Castro,-24.7911,-50.0119,62.96,97,17,9.06,BR,1613871952
Benguela,-12.5763,13.4055,73.29,77,100,2.55,AO,1613872045
Santa Rosalía,27.3167,-112.2833,61.79,42,48,6.51,MX,1613872045
Tartagal,-22.5164,-63.8013,75.74,74,95,4.05,AR,1613872045
Nago,26.5881,127.9761,68.0,45,40,6.91,JP,1613872046
Kosum Phisai,16.2486,103.0674,78.01,77,75,2.3,TH,1613872046
Cape Town,-33.9258,18.4232,64.99,72,75,5.75,ZA,1613872046
Labuhan,-6.8844,112.2051,80.37,81,100,6.82,ID,1613872046
Saint-Philippe,-21.3585,55.7679,78.8,78,40,6.91,RE,1613871629
Nouadhibou,20.931,-17.0347,60.8,94,0,11.5,MR,1613872046
Mataura,-46.1927,168.8643,77.16,28,0,4.27,NZ,1613871621
Patrocínio,-18.9439,-46.9925,69.01,100,1,4.47,BR,1613872047
Garissa,-0.4536,39.6401,76.55,75,100,8.57,KE,1613871950
Ushuaia,-54.8,-68.3,46.4,81,90,23.02,AR,1613871880
Hilo,19.7297,-155.09,80.6,57,40,9.22,US,1613871628
Coihueco,-36.6167,-71.8333,68.0,34,0,4.61,CL,1613872047
Ilulissat,69.2167,-51.1,-0.4,65,40,12.66,GL,1613872047
Kamenka,51.3223,42.7678,9.0,95,99,4.99,RU,1613872047
Arraial do Cabo,-22.9661,-42.0278,76.75,88,0,3.06,BR,1613871884
Auki,-8.7676,160.7034,83.25,76,100,3.33,SB,1613872048
Athens,37.9795,23.7162,50.0,71,75,8.05,GR,1613871808
Havelock,34.8791,-76.9013,36.0,71,0,1.01,US,1613871980
Labytnangi,66.6572,66.4183,-27.9,84,100,0.65,RU,1613872048
Touros,-5.1989,-35.4608,80.6,78,20,8.05,BR,1613872049
San Felipe,10.3399,-68.7425,69.39,88,100,5.17,VE,1613872049
Forsytheganj,52.6333,29.7333,33.44,96,100,8.9,BY,1613872049
Albany,42.6001,-73.9662,23.0,63,20,12.66,US,1613871704
Garoowe,8.4054,48.4845,62.44,89,86,8.1,SO,1613872049
Qaqortoq,60.7167,-46.0333,19.4,79,90,4.61,GL,1613872050
Eyl,7.9803,49.8164,71.22,77,100,14.67,SO,1613872050
Sinnamary,5.3833,-52.95,77.58,81,70,13.35,GF,1613871622
Nanortalik,60.1432,-45.2371,15.84,91,46,12.03,GL,1613871879
Severodvinsk,64.5635,39.8302,-31.0,75,20,2.24,RU,1613872050
Hofn,64.2539,-15.2082,39.79,71,100,21.39,IS,1613872050
George Town,5.4112,100.3354,82.4,65,20,8.05,MY,1613871911
Bredasdorp,-34.5322,20.0403,60.8,72,6,8.05,ZA,1613871623
Bluff,-46.6,168.3333,63.59,64,0,8.19,NZ,1613871627
Dikson,73.5069,80.5464,-8.16,91,100,8.37,RU,1613871879
Ha Giang,22.8333,104.9833,71.58,63,94,1.61,VN,1613872111
Marystown,47.1666,-55.1483,21.76,95,100,16.28,CA,1613872111
Busselton,-33.65,115.3333,69.01,72,13,3.0,AU,1613871624
Morro Agudo,-20.7314,-48.0578,78.8,61,0,4.61,BR,1613872112
Puerto Maldonado,-12.6,-69.1833,74.01,95,100,1.88,PE,1613872112
Vaini,-21.2,-175.2,82.4,61,75,11.5,TO,1613871621
Hambantota,6.1241,81.1185,73.4,100,20,4.61,LK,1613872112
Riosucio,5.4216,-75.7032,71.6,78,40,2.3,CO,1613872108
Saldanha,-33.0117,17.9442,62.96,79,0,8.57,ZA,1613871882
Mar del Plata,-38.0023,-57.5575,63.0,72,0,8.7,AR,1613871691
Codrington,-38.2667,141.9667,63.79,58,94,10.18,AU,1613872089
Hermanus,-34.4187,19.2345,59.0,93,19,1.99,ZA,1613871950
Conceição do Araguaia,-8.2578,-49.2647,72.18,95,100,0.72,BR,1613872114
Yeppoon,-23.1333,150.7333,93.2,43,40,8.05,AU,1613871963
Port-Cartier,50.0334,-66.8654,12.0,52,1,8.05,CA,1613872114
Majene,-3.5403,118.9707,87.17,58,27,6.71,ID,1613872114
Faanui,-16.4833,-151.75,81.97,77,100,14.29,PF,1613872114
Puerto Colombia,10.9878,-74.9547,80.6,74,0,13.8,CO,1613872114
Bogoslovka,53.2084,44.8013,-3.15,93,100,2.15,RU,1613872115
Saint-Pierre,-21.3393,55.4781,78.8,73,0,5.75,RE,1613872115
Bam,29.106,58.357,59.05,42,75,6.46,IR,1613872115
Souillac,-20.5167,57.5167,77.0,88,40,4.61,MU,1613872115
Dubrovka,53.6907,33.5071,19.63,98,100,5.46,RU,1613872115
Lebu,-37.6167,-73.65,56.05,79,0,19.73,CL,1613871627
Eloy,32.7559,-111.5548,73.4,9,1,17.27,US,1613872116
Pisco,-13.7,-76.2167,73.0,73,0,16.11,PE,1613872116
Iberia,29.9502,-91.7507,46.0,76,1,5.75,US,1613872116
Geraldton,-28.7667,114.6,80.6,41,0,5.75,AU,1613872116
Semnan,35.5729,53.3971,39.29,62,0,1.16,IR,1613872116
San Policarpo,12.1791,125.5072,79.86,88,100,25.39,PH,1613872116
Alice Springs,-23.7,133.8833,96.8,17,0,6.91,AU,1613872117
Mersing,2.4312,103.8405,80.6,78,40,10.36,MY,1613872117
Puerto Ayora,-0.7393,-90.3518,79.0,88,49,8.01,EC,1613871621
Ambunti,-4.2365,142.8448,93.27,53,32,2.04,PG,1613872117
Provideniya,64.3833,-173.3,-4.0,77,90,15.66,RU,1613872117
Tamandaré,-8.7597,-35.1047,78.46,82,100,9.1,BR,1613872118
Jamestown,42.097,-79.2353,19.99,93,90,12.66,US,1613871881
Atar,20.5169,-13.0499,62.65,25,0,3.78,MR,1613871954
São João da Barra,-21.6403,-41.0511,75.45,90,100,13.8,BR,1613872118
Hobyo,5.3505,48.5268,76.37,77,100,17.65,SO,1613872118
Virden,39.5009,-89.7679,28.0,75,100,5.01,US,1613872118
Portland,45.5234,-122.6762,48.0,65,100,7.31,US,1613871488
Zhangye,38.9342,100.4517,40.68,49,87,0.51,CN,1613872179
Aklavik,68.2191,-135.0107,-14.8,70,28,2.3,CA,1613871948
Lüderitz,-26.6481,15.1594,62.46,69,0,25.43,NA,1613872179
Faranah,10.0404,-10.7434,77.09,68,7,6.73,GN,1613872179
Puerto Nariño,-3.7703,-70.3831,77.0,100,75,3.58,CO,1613872179
Tuktoyaktuk,69.4541,-133.0374,-20.2,76,75,14.97,CA,1613871886
La Ronge,55.1001,-105.2842,30.2,59,100,4.61,CA,1613872179
Punta Arenas,-53.15,-70.9167,53.6,71,90,8.05,CL,1613871438
Aloleng,16.1307,119.7824,77.11,51,98,7.85,PH,1613872180
Mount Gambier,-37.8333,140.7667,66.2,52,90,8.05,AU,1613872180
Sena Madureira,-9.0656,-68.6569,73.15,96,100,3.33,BR,1613872180
Bambous Virieux,-20.3428,57.7575,78.01,88,40,4.61,MU,1613872180
Nemuro,43.3236,145.575,32.0,43,75,9.22,JP,1613872109
Częstochowa,50.7965,19.1241,35.01,93,0,6.91,PL,1613872181
Hobart,-42.8794,147.3294,73.0,68,40,10.36,AU,1613871649
Miles City,46.4083,-105.8406,30.2,74,1,8.05,US,1613872181
Hong Kong,22.2855,114.1577,68.0,78,0,1.01,HK,1613871908
Kapuskasing,49.4169,-82.4331,14.0,73,0,2.3,CA,1613872181
Praia,14.9215,-23.5087,68.0,77,0,20.71,CV,1613872181
Katsuura,35.1333,140.3,62.6,55,0,8.05,JP,1613872182
Thompson,55.7435,-97.8558,12.2,85,20,4.61,CA,1613871871
Nikolskoye,59.7035,30.7861,21.2,86,90,8.95,RU,1613872182
Kaitangata,-46.2817,169.8464,66.99,72,0,8.01,NZ,1613871884
Makīnsk,52.6292,70.4169,-9.13,90,63,13.58,KZ,1613872182
Saint Paul Harbor,57.79,-152.4072,30.2,86,90,16.11,US,1613872182
Haines Junction,60.7522,-137.5108,3.2,60,100,1.12,CA,1613872183
Kontagora,10.3999,5.4695,69.3,22,0,6.8,NG,1613872183
Broome,42.2506,-75.833,21.0,86,90,8.05,US,1613872183
Pierre,44.3683,-100.351,33.8,86,90,5.75,US,1613872183
Ayabe,35.3,135.25,57.0,66,0,5.75,JP,1613872183
Ponta do Sol,32.6667,-17.1,51.01,77,100,1.99,PT,1613871947
Bonnyville,54.2668,-110.735,32.0,51,40,8.05,CA,1613872184
Kohlu,29.8962,69.252,51.1,41,88,0.67,PK,1613872184
Donghai,22.9459,115.642,67.95,48,11,4.18,CN,1613872184
Mkushi,-13.6202,29.3939,62.85,92,99,2.26,ZM,1613872184
Port Elizabeth,-33.918,25.5701,68.0,73,0,16.11,ZA,1613872185
Petauke,-14.2426,31.3253,65.32,95,100,1.41,ZM,1613872185
College,64.8569,-147.8028,-9.4,70,40,4.61,US,1613872079
Ahipara,-35.1667,173.1667,73.8,55,86,5.79,NZ,1613872185
Fort Nelson,58.8053,-122.7002,21.2,73,75,2.3,CA,1613872185
Cap Malheureux,-19.9842,57.6142,78.01,77,0,5.01,MU,1613872185
Bethel,41.3712,-73.414,28.4,50,20,4.61,US,1613871622
Carnarvon,-24.8667,113.6333,80.6,83,40,13.8,AU,1613871883
Zhezkazgan,47.8043,67.7144,1.98,92,77,7.31,KZ,1613872186
Martapura,-3.4167,114.85,84.2,79,40,4.61,ID,1613872186
Norman Wells,65.282,-126.8329,-13.0,70,75,3.44,CA,1613872246
Ust-Kuyga,70.0167,135.6,-33.45,80,18,4.81,RU,1613872246
Muros,42.7762,-9.0603,48.0,92,100,1.99,ES,1613872247
New Norfolk,-42.7826,147.0587,73.99,46,8,3.0,AU,1613872247
Chokurdakh,70.6333,147.9167,-29.67,84,94,5.95,RU,1613871883
Northampton,40.8754,-75.2499,24.01,81,0,8.34,US,1613872247
Pauini,-7.7136,-66.9764,73.58,96,100,2.35,BR,1613872247
São Sebastião,-23.76,-45.4097,74.52,84,10,5.46,BR,1613872218
Zyryanka,65.75,150.85,-25.94,81,20,0.51,RU,1613872248
Halifax,44.6453,-63.5724,23.0,93,100,6.91,CA,1613872240
Porto Nacional,-10.7081,-48.4172,75.2,94,75,3.44,BR,1613872248
Kichera,55.9375,110.0997,-3.42,82,100,2.42,RU,1613872248
Lázaro Cárdenas,17.9583,-102.2,71.13,81,0,6.4,MX,1613872248
Port-Gentil,-0.7193,8.7815,81.21,74,100,6.76,GA,1613872248
Körmend,47.011,16.606,39.0,100,90,4.61,HU,1613872248
Barcelos,41.5388,-8.6151,48.2,100,75,6.91,PT,1613872249
Klaksvík,62.2266,-6.589,44.6,100,90,21.85,FO,1613872249
Lewistown,40.5992,-77.5714,23.0,68,1,13.8,US,1613872249
Upernavik,72.7868,-56.1549,-23.75,82,18,14.7,GL,1613872249
Stornoway,58.2093,-6.3865,45.0,81,75,33.38,GB,1613872249
Saskylakh,71.9167,114.0833,-30.87,84,2,1.03,RU,1613872250
Butaritari,3.0707,172.7902,81.19,80,44,16.78,KI,1613872250
Waingapu,-9.6567,120.2641,84.97,71,13,9.91,ID,1613872250
Kieta,-6.2167,155.6333,85.26,70,43,4.81,PG,1613872250
Stavern,59.0,10.0333,37.99,100,90,5.75,NO,1613872250
Zabul Province,32.25,67.25,47.5,52,76,2.48,AF,1613872250
East London,-33.0153,27.9116,68.79,82,100,8.23,ZA,1613871952
Kikwit,-5.041,18.8162,69.75,92,100,0.69,CD,1613872251
Isangel,-19.55,169.2667,85.84,67,90,10.87,VU,1613872251
Matara,5.9485,80.5353,75.7,87,73,11.34,LK,1613872251
São João do Paraíso,-15.3136,-42.0144,68.4,93,100,6.49,BR,1613872251
Port Alfred,-33.5906,26.891,68.0,81,100,3.0,ZA,1613872039
Gravdal,68.1214,13.5031,30.38,98,79,18.52,NO,1613872251
Mahébourg,-20.4081,57.7,77.0,88,40,4.61,MU,1613872252
São Filipe,14.8961,-24.4956,70.09,76,0,12.59,CV,1613872252
Caravelas,-17.7125,-39.2481,78.48,84,100,10.16,BR,1613872252
Yellowknife,62.456,-114.3525,-5.01,71,90,6.91,CA,1613872252
Goba,7.0167,39.9833,51.33,91,100,2.08,ET,1613872252
Maţāy,28.419,30.7792,46.33,67,0,8.37,EG,1613872211
Langsa,4.4683,97.9683,82.26,67,99,2.77,ID,1613872110
Palana,59.1167,159.9667,9.05,95,63,9.91,RU,1613872253
Rocha,-34.4833,-54.3333,57.02,52,0,5.12,UY,1613872253
Vardø,70.3705,31.1107,18.01,94,95,22.77,NO,1613872253
Militello in Val di Catania,37.2748,14.7934,48.0,100,0,6.91,IT,1613872254
El Seibo,18.7641,-69.0375,73.4,94,40,4.61,DO,1613872254
Kropotkin,45.4375,40.5756,21.02,94,72,2.48,RU,1613872254
Zaysan,47.4667,84.8667,4.64,91,0,0.87,KZ,1613872254
Narsaq,60.9167,-46.05,19.4,79,90,4.61,GL,1613872314
Baykit,61.67,96.37,-14.89,84,97,1.72,RU,1613871949
Bonavista,48.6499,-53.1147,24.01,86,100,4.61,CA,1613872314
Kavaratti,10.5669,72.642,80.22,63,84,3.98,IN,1613872315
Palmas,-10.2128,-48.3603,75.2,94,75,3.44,BR,1613872315
Khanpur,28.6453,70.6567,58.39,33,60,3.33,PK,1613872315
Los Llanos de Aridane,28.6585,-17.9182,68.0,49,0,11.5,ES,1613871954
Chui,-33.6971,-53.4616,61.5,59,0,3.36,UY,1613872316
Sola,-13.8833,167.55,83.37,77,94,10.16,VU,1613872316
Hamilton,39.1834,-84.5333,24.8,68,1,2.21,US,1613871634
Kattivākkam,13.2167,80.3167,77.0,78,75,11.5,IN,1613872316
Ucluelet,48.9329,-125.5528,44.01,100,90,5.75,CA,1613872177
Mezhdurechensk,53.6942,88.0603,-6.52,87,67,3.06,RU,1613872317
Zelenogorskiy,55.0333,87.0,-11.2,77,40,4.47,RU,1613872317
Kyren,51.6828,102.1408,0.48,84,98,0.81,RU,1613872317
Menongue,-14.6585,17.691,60.98,92,100,10.09,AO,1613872317
Lumberton,34.6182,-79.0086,35.6,64,1,2.53,US,1613872317
Kavieng,-2.5744,150.7967,84.24,78,0,11.97,PG,1613872318
Primero de Enero,21.9469,-78.4283,75.2,83,40,9.22,CU,1613872318
Ulladulla,-35.35,150.4667,82.4,54,0,4.61,AU,1613872318
Moree,-29.4667,149.85,91.4,29,0,10.36,AU,1613872318
Rudraprayāg,30.2833,78.9833,57.78,36,0,2.73,IN,1613872318
Saint George,37.1041,-113.5841,50.0,37,90,11.5,US,1613872219
Lukovetskiy,64.2956,41.9211,-31.0,75,20,2.24,RU,1613872319
Sibolga,1.7427,98.7792,82.8,62,75,3.15,ID,1613872319
Tuatapere,-46.1333,167.6833,72.25,46,0,2.73,NZ,1613872319
Ouidah,6.3631,2.0851,82.4,74,20,5.75,BJ,1613872319
San Patricio,28.017,-97.5169,55.4,67,20,9.22,US,1613872319
Leshukonskoye,64.8989,45.7622,-32.49,84,0,4.21,RU,1613872319
Alma,48.5501,-71.6491,15.8,67,79,4.61,CA,1613872283
Santa Cecília,-26.9608,-50.4269,61.09,98,46,6.24,BR,1613872192
Banda Aceh,5.5577,95.3222,81.21,74,92,14.5,ID,1613872320
Dustlik,40.5247,68.0358,38.28,76,100,4.79,UZ,1613872320
Airai,-8.9266,125.4092,71.28,82,100,2.86,TL,1613872320
Kiruna,67.8557,20.2251,3.2,92,90,6.91,SE,1613872321
Saint-François,46.4154,3.9054,53.6,54,0,16.11,FR,1613872321
Qūchān,37.106,58.5095,32.68,93,17,2.39,IR,1613872321
Solano,38.2333,-121.9511,59.0,38,1,10.36,US,1613872321
Linhares,-19.3911,-40.0722,73.49,95,100,1.32,BR,1613872148
Zhaotong,27.3167,103.7167,52.0,68,76,1.5,CN,1613872322
La Libertad,-2.2333,-80.9,75.38,81,37,7.56,EC,1613872141
Timbiquí,2.7717,-77.6654,75.54,87,22,1.52,CO,1613872322
Adrar,20.5022,-10.0711,65.59,22,0,8.97,MR,1613872323
Calama,-22.4667,-68.9333,62.6,19,0,17.27,CL,1613872323
Najrān,17.4924,44.1277,59.0,55,0,2.75,SA,1613872323
Hithadhoo,-0.6,73.0833,82.22,76,74,12.08,MV,1613872323
Arrondissement de Foix,42.8333,1.5833,48.0,54,55,1.99,FR,1613872323
